code_info,code_fn,sector,name,bond_date,bond_TF,bond_rating,bond_pos,bond_neu,bond_neg,cp_date,cp_TF,cp_rating,corp_date,corp_TF,corp_rating,corp_pos,corp_neu,corp_neg
00508,,C19210,GS칼텍스,2026-06-17 00:00:00,T,AA+,0,3,0,2026-06-17 00:00:00,T,A1,2026-04-16 00:00:00,,,0,0,0
04780,,D35110,GS파워,2026-06-25 00:00:00,T,AA,0,3,0,2026-06-25 00:00:00,T,A1,2026-06-09 00:00:00,,,0,0,0
26727,,C29100,HD건설기계,2026-06-08 00:00:00,T,A,3,0,0,2024-12-27 00:00:00,T,A2,,,,0,0,0
00954,,K64992,HD한국조선해양,,,,0,0,0,,,,2026-04-01 00:00:00,T,AA-,0,3,0
26725,,K64992,HD현대,2026-03-26 00:00:00,T,AA-,0,3,0,2026-03-30 00:00:00,T,A1,,,,0,0,0
00000,,M72120,HD현대마린솔루션,,,,0,0,0,,,,2026-06-24 00:00:00,T,AA-,0,3,0
00000,,C26120,HD현대에너지솔루션,,,,0,0,0,,,,2026-04-20 00:00:00,T,A-,0,1,0
26726,,C28110,HD현대일렉트릭,2026-03-26 00:00:00,T,AA-,0,3,0,,,,,,,0,0,0
32918,,C31113,HD현대중공업,2026-03-26 00:00:00,T,AA-,0,3,0,,,,,,,0,0,0
19594,,C21210,HK이노엔,2026-06-10 00:00:00,T,A,0,2,0,2026-06-10 00:00:00,T,A2,,,,0,0,0
01479,,F41221,HL D&I,2026-05-28 00:00:00,T,BBB+,0,2,0,2026-05-13 00:00:00,T,A3+,2025-01-16 00:00:00,,,0,0,0
20432,,C30300,HL만도,2026-04-20 00:00:00,T,AA-,0,3,0,,,,,,,0,0,0
06098,,K64992,HL홀딩스,2026-05-12 00:00:00,T,A,0,3,0,,,,,,,0,0,0
00000,,K64919,HS효성,,,,0,0,0,2026-06-11 00:00:00,T,A2,2026-06-10 00:00:00,T,A,0,1,0
29805,,C20500,HS효성첨단소재,2026-06-05 00:00:00,T,A,0,2,0,2026-06-05 00:00:00,T,A2,2026-06-10 00:00:00,T,A,0,2,0
10477,,K66120,IBK투자증권,2026-06-24 00:00:00,T,AA-,0,2,0,2026-07-03 00:00:00,T,A1,2026-04-20 00:00:00,T,AA-,0,2,0
01536,,M71500,INVENI,2026-06-24 00:00:00,T,AA-,0,2,0,2025-09-17 00:00:00,T,A1,,,,0,0,0
29487,,F41100,IPARK현대산업개발,2026-06-26 00:00:00,T,A,0,3,0,,,,,,,0,0,0
07931,,K64913,JB 우리캐피탈,2026-07-08 00:00:00,T,AA-,0,3,0,2026-06-15 00:00:00,T,A1,,,,0,0,0
17533,,K64992,JB금융지주,2026-07-08 00:00:00,T,AA+,0,3,0,,,,2026-06-29 00:00:00,T,AA+,0,3,0
23408,,C21210,JW생명과학,,,,0,0,0,,,,2026-04-28 00:00:00,F,BBB,0,2,0
00106,,C21210,JW중외제약,,,,0,0,0,,,,2026-04-28 00:00:00,T,A-,0,1,0
09676,,K64992,JW홀딩스,2026-05-13 00:00:00,,,0,0,0,,,,2026-04-28 00:00:00,T,BBB+,0,1,0
10556,,K64992,KB금융,2026-07-01 00:00:00,T,AAA,0,3,0,2026-06-30 00:00:00,T,A1,2026-06-10 00:00:00,T,AAA,0,3,0
41564,,K64201,KB발해인프라,2026-06-29 00:00:00,T,AA-,0,2,0,,,,2026-06-26 00:00:00,T,AA-,0,2,0
00255,,K65121,KB손해보험,,,,0,0,0,,,,2026-05-14 00:00:00,T,AA+,0,1,0
43232,,L68112,KB스타리츠,2026-01-30 00:00:00,T,A-,0,2,0,,,,2026-04-14 00:00:00,,,0,0,0
00345,,K66121,KB증권,2026-07-14 00:00:00,T,AA+,0,3,0,2026-06-30 00:00:00,T,A1,,,,0,0,0
02196,,K64911,KB캐피탈,2026-06-30 00:00:00,T,AA-,0,3,0,2026-06-12 00:00:00,T,A1,2026-05-04 00:00:00,T,AA-,0,2,0
02132,,F41112,KCC건설,2026-04-23 00:00:00,T,A-,0,2,0,2026-04-23 00:00:00,T,A2-,,,,0,0,0
00362,,C30100,KG모빌리티,2026-06-24 00:00:00,T,BB,0,2,0,,,,,,,0,0,0
03560,,J58221,KG이니시스,,,,0,0,0,,,,2026-05-29 00:00:00,T,A,0,2,0
09305,,C14111,LF,2026-06-19 00:00:00,T,AA-,0,2,0,,,,2025-01-16 00:00:00,,,0,0,0
03422,,C26211,LG디스플레이,2026-06-29 00:00:00,T,A,0,3,0,,,,2026-04-13 00:00:00,,,0,0,0
06440,,J62021,LG씨엔에스,2026-04-30 00:00:00,T,AA,0,3,0,,,,2025-12-08 00:00:00,,,0,0,0
37322,,C28202,LG에너지솔루션,2026-06-22 00:00:00,T,AA,0,3,0,,,,2026-06-22 00:00:00,T,AA,0,2,0
03264,,J61220,LG유플러스,2026-05-14 00:00:00,T,AA+,0,3,0,2026-05-14 00:00:00,T,A1,2026-04-15 00:00:00,T,AA+,0,1,0
01107,,C26200,LG이노텍,2026-06-19 00:00:00,T,AA-,0,3,0,2026-06-19 00:00:00,T,A1,2026-06-22 00:00:00,T,AA-,0,3,0
06657,,C26400,LG전자,2026-05-18 00:00:00,T,AA,1,2,0,,,,2026-05-15 00:00:00,T,AA,0,1,0
03756,,J60222,LG헬로비전,2026-04-21 00:00:00,T,AA-,0,2,0,2026-04-21 00:00:00,T,A1,,,,0,0,0
05191,,C20111,LG화학,2026-06-23 00:00:00,F,AA,0,1,2,,,,,,,0,0,0
00626,,K64992,LS,2026-06-30 00:00:00,T,A+,3,0,0,2026-06-30 00:00:00,T,A2+,,,,0,0,0
00068,,G46800,LS네트웍스,2026-06-29 00:00:00,T,BBB+,0,2,0,2026-06-29 00:00:00,T,A3+,2026-06-29 00:00:00,T,BBB+,0,1,0
07802,,K66121,LS증권,,,,0,0,0,2026-06-29 00:00:00,T,A2+,2026-06-22 00:00:00,T,A,0,2,0
00112,,G46100,LX인터내셔널,2026-06-25 00:00:00,T,AA-,0,3,0,,,,2026-06-17 00:00:00,T,AA-,0,2,0
10867,,C22220,LX하우시스,2026-07-01 00:00:00,T,A+,0,3,0,,,,2025-01-16 00:00:00,,,0,0,0
38380,,K64992,LX홀딩스,2026-06-15 00:00:00,T,AA-,0,2,0,,,,,,,0,0,0
03542,,J63120,NAVER,2026-06-30 00:00:00,T,AA+,0,3,0,,,,,,,0,0,0
45604,,C20129,OCI,2026-05-29 00:00:00,T,A+,0,3,0,,,,,,,0,0,0
01006,,C20129,OCI홀딩스,,,,0,0,0,2026-05-13 00:00:00,T,A2+,2026-05-13 00:00:00,T,A+,0,2,0
03412,,J60210,SBS,2026-06-29 00:00:00,T,AA,0,3,0,2026-06-29 00:00:00,T,A1,,,,0,0,0
03473,,K64992,SK,2026-03-19 00:00:00,T,AA+,0,3,0,2026-03-20 00:00:00,T,A1,2026-06-09 00:00:00,,,0,0,0
01867,,G46713,SK가스,2026-06-24 00:00:00,T,AA-,0,3,0,2026-06-24 00:00:00,T,A1,2025-01-16 00:00:00,,,0,0,0
00174,,G46700,SK네트웍스,2026-04-03 00:00:00,T,AA-,0,3,0,2026-04-10 00:00:00,T,A1,2026-04-06 00:00:00,T,AA-,0,3,0
00612,,K64992,SK디스커버리,2026-06-30 00:00:00,T,A+,0,3,0,2026-06-30 00:00:00,T,A2+,,,,0,0,0
21098,,L68122,SK디앤디,2026-07-01 00:00:00,T,BBB-,0,0,2,2026-07-01 00:00:00,T,A3-,2024-10-16 00:00:00,,,0,0,0
06840,,N76110,SK렌터카,2026-06-30 00:00:00,T,A,0,3,0,2026-06-30 00:00:00,T,A2,,,,0,0,0
39540,,L68112,SK리츠,2026-06-22 00:00:00,T,AA-,0,2,0,,,,2025-01-16 00:00:00,,,0,0,0
03363,,J61210,SK브로드밴드,2026-05-28 00:00:00,T,AA,0,3,0,2026-05-28 00:00:00,T,A1,2026-05-28 00:00:00,T,AA,0,2,0
39382,,N75320,SK쉴더스,2026-07-01 00:00:00,T,A-,0,2,0,,,,,,,0,0,0
49338,,G45200,SK스피드메이트,,,,0,0,0,,,,2026-07-01 00:00:00,T,A-,0,1,0
02927,,C26120,SK실트론,2026-07-01 00:00:00,T,A+,0,1,2,2026-07-02 00:00:00,T,A2+,,,,0,0,0
36161,,C28200,SK아이이테크놀로지,2026-06-09 00:00:00,T,A-,0,1,1,2026-06-09 00:00:00,T,A2-,,,,0,0,0
13809,,C19210,SK에너지,2026-06-22 00:00:00,T,AA,0,3,0,2026-06-22 00:00:00,T,A1,2025-08-26 00:00:00,,,0,0,0
09677,,C19200,SK이노베이션,2026-06-15 00:00:00,T,AA,0,3,0,2026-06-15 00:00:00,T,A1,2025-01-16 00:00:00,,,0,0,0
18545,,C28520,SK인텔릭스,2026-06-24 00:00:00,T,A+,0,3,0,2026-06-24 00:00:00,T,A2+,,,,0,0,0
00151,,K66121,SK증권,2026-06-24 00:00:00,T,A-,0,2,0,2026-07-02 00:00:00,T,A2,2026-04-17 00:00:00,T,A-,0,1,0
13810,,C20111,SK지오센트릭,2026-06-25 00:00:00,T,AA-,0,0,3,2026-06-25 00:00:00,T,A1,2025-01-16 00:00:00,,,0,0,0
28513,,C20202,SK케미칼,2026-04-30 00:00:00,T,A+,0,3,0,2025-12-10 00:00:00,T,A2+,,,,0,0,0
01767,,J61220,SK텔레콤,2026-06-23 00:00:00,T,AAA,0,3,0,2026-06-29 00:00:00,T,A1,2026-06-17 00:00:00,T,AAA,0,1,0
00066,,C26120,SK하이닉스,2026-06-16 00:00:00,T,AA+,0,3,0,2026-06-17 00:00:00,T,A1,,,,0,0,0
26876,,H50112,SK해운,2026-07-10 00:00:00,T,A-,0,1,0,2025-09-22 00:00:00,T,CANC,2026-07-01 00:00:00,T,A-,0,3,0
00271,,C24191,TCC스틸,2026-04-17 00:00:00,T,BB+,0,0,1,,,,,,,0,0,0
00798,,C14100,TP,2026-05-15 00:00:00,T,BBB-,0,2,0,2026-05-15 00:00:00,T,A3-,,,,0,0,0
00290,,C29210,TYM,2026-06-04 00:00:00,T,BBB-,1,0,0,,,,2025-01-16 00:00:00,,,0,0,0
13913,,K64992,iM금융지주,2026-07-10 00:00:00,T,AAA,0,3,0,,,,2026-04-22 00:00:00,T,AAA,0,2,0
06386,,C15129,가나안,2026-02-13 00:00:00,T,BBB,1,0,0,,,,,,,0,0,0
00050,,C28302,가온전선,2026-06-30 00:00:00,T,A,0,2,0,2026-07-02 00:00:00,T,A2,,,,0,0,0
00000,,D35200,강남도시가스,,,,0,0,0,,,,2025-06-19 00:00:00,T,A-,0,1,0
00000,,P85302,건국대학교,,,,0,0,0,,,,2026-02-13 00:00:00,T,AA,0,1,0
00000,,K65302,건설공제조합,,,,0,0,0,,,,2026-06-29 00:00:00,T,AA+,0,2,0
00086,,C20411,건설화학공업,,,,0,0,0,,,,2026-07-03 00:00:00,T,BBB-,0,1,0
09137,,L68129,경기주택도시공사,2026-07-10 00:00:00,T,AAA,0,3,0,2026-04-13 00:00:00,T,A1,,,,0,0,0
0036C,,H52921,경기평택항만공사,2026-06-30 00:00:00,T,AA+,0,3,0,,,,2025-08-26 00:00:00,,,0,0,0
09365,,F41000,경남개발공사,2026-06-30 00:00:00,T,AA+,0,3,0,,,,,,,0,0,0
19252,,K64121,경남은행,2026-07-09 00:00:00,T,AA+,0,3,0,,,,2026-05-22 00:00:00,T,AA+,0,3,0
09896,,M72112,경상북도개발공사,2026-06-26 00:00:00,T,AA+,0,3,0,,,,,,,0,0,0
01358,,F41200,계룡건설산업,2026-06-24 00:00:00,T,BBB+,0,1,0,,,,,,,0,0,0
01013,,C24213,고려아연,2026-05-14 00:00:00,T,AA,0,2,0,2026-05-18 00:00:00,T,A1,2025-08-26 00:00:00,,,0,0,0
00000,,K64131,고려저축은행,,,,0,0,0,,,,2026-06-26 00:00:00,T,BBB+,0,1,0
32815,,F41000,고양도시관리공사,2026-05-29 00:00:00,T,AA,0,3,0,,,,,,,0,0,0
37078,,N74100,과천도시공사,2026-05-29 00:00:00,T,AA,0,3,0,,,,,,,0,0,0
15143,,C30000,광명산업,2026-05-04 00:00:00,T,BB,0,1,0,,,,,,,0,0,0
10782,,F41210,광주광역시도시공사,2026-07-01 00:00:00,T,AA+,0,3,0,,,,,,,0,0,0
03771,,G47111,광주신세계,2026-06-12 00:00:00,T,AA-,0,2,0,2026-06-12 00:00:00,T,A1,2025-05-07 00:00:00,,,0,0,0
19253,,K64121,광주은행,2026-06-30 00:00:00,T,AA+,0,3,0,,,,2026-06-25 00:00:00,T,AA+,0,3,0
10857,,B08000,광해광업공단,2026-07-08 00:00:00,T,AAA,0,3,0,2026-07-02 00:00:00,T,A1,2026-03-10 00:00:00,T,AAA,0,1,0
03448,,K64999,교보자산신탁,,,,0,0,0,2026-04-29 00:00:00,T,A3+,2026-04-27 00:00:00,T,BBB+,0,1,0
03061,,K66121,교보증권,2026-07-10 00:00:00,T,AA-,0,3,0,2026-06-15 00:00:00,T,A1,2026-06-15 00:00:00,T,AA-,0,3,0
00000,,K64121,교통은행,,,,0,0,0,,,,2026-05-22 00:00:00,T,AAA,0,1,0
00000,,H49100,국가철도공단,2026-06-01 00:00:00,T,AAA,0,3,0,,,,2026-03-30 00:00:00,T,AAA,0,1,0
00769,,C20111,국도화학,2026-06-26 00:00:00,T,A+,0,2,0,,,,,,,0,0,0
06000,,K64121,국민은행,2026-06-30 00:00:00,T,AAA,0,3,0,,,,2026-04-03 00:00:00,T,AAA,0,3,0
00000,,K64900,국민행복기금,,,,0,0,0,,,,2026-06-10 00:00:00,T,AA-,0,1,0
01428,,C24130,금강공업,2026-05-07 00:00:00,T,BBB-,0,1,0,,,,,,,0,0,0
01178,,C20100,금호석유화학,2026-06-23 00:00:00,T,A+,0,3,0,,,,,,,0,0,0
07324,,C22111,금호타이어,2026-06-08 00:00:00,F,A,2,1,0,,,,2025-05-14 00:00:00,,,0,0,0
06092,,C20119,금호피앤비화학,,,,0,0,0,,,,2026-06-29 00:00:00,T,A,0,3,0
11496,,C24190,기보스틸,2026-05-18 00:00:00,T,BB+,0,1,0,,,,2025-01-16 00:00:00,,,0,0,0
00027,,C30121,기아,2026-06-19 00:00:00,T,AAA,0,3,0,,,,2025-01-16 00:00:00,,,0,0,0
02411,,K64121,기업은행,2026-05-27 00:00:00,T,AAA,0,3,0,,,,2026-05-27 00:00:00,T,AAA,0,3,0
31113,,L68129,김해시도시개발공사,2026-06-08 00:00:00,T,AA,0,3,0,,,,,,,0,0,0
00454,,C17120,깨끗한나라,2026-06-17 00:00:00,T,BBB-,0,1,0,2026-06-17 00:00:00,T,A3-,2026-06-17 00:00:00,T,BBB-,0,1,0
35840,,C14199,나디아퍼시픽,2025-06-20 00:00:00,T,BB,0,2,0,,,,,,,0,0,0
21052,,D35300,나래에너지서비스,2026-06-19 00:00:00,T,AA-,0,2,0,2026-06-22 00:00:00,T,A1,2025-08-26 00:00:00,,,0,0,0
12531,,G46441,남신약품,2026-07-01 00:00:00,T,BB-,0,1,0,,,,,,,0,0,0
00000,,D35300,내포그린에너지,,,,0,0,0,,,,2026-04-24 00:00:00,T,A-,0,1,0
03364,,C26100,네패스,2026-07-01 00:00:00,T,BB+,0,1,0,,,,,,,0,0,0
00235,,C22111,넥센타이어,2026-05-15 00:00:00,T,A,0,2,0,2026-05-18 00:00:00,T,A2,2025-06-20 00:00:00,T,A,0,1,0
25127,,J58211,넷마블,2026-06-16 00:00:00,T,A+,0,2,0,2026-06-16 00:00:00,T,A2+,,,,0,0,0
12928,,K66000,노무라금융투자,,,,0,0,0,,,,2025-09-01 00:00:00,T,AA-,0,1,0
14517,,C14000,노브랜드,2026-04-21 00:00:00,T,BB+,0,1,0,,,,,,,0,0,0
00628,,C21210,녹십자,2026-07-01 00:00:00,T,A+,0,2,0,,,,2025-01-16 00:00:00,,,0,0,0
00525,,M71500,녹십자홀딩스,2026-06-30 00:00:00,T,A+,0,2,0,,,,,,,0,0,0
07271,,K64992,농심홀딩스,2026-06-19 00:00:00,T,AA,0,2,0,2025-10-23 00:00:00,T,A1,,,,0,0,0
02074,,S96990,농어촌공사,2026-07-02 00:00:00,T,AAA,0,3,0,,,,2025-01-16 00:00:00,,,0,0,0
00000,,K64992,농협경제지주,,,,0,0,0,,,,2026-05-04 00:00:00,T,AAA,0,1,0
16626,,K64992,농협금융지주,2026-06-24 00:00:00,T,AAA,0,3,0,,,,2026-05-07 00:00:00,T,AAA,0,3,0
15373,,K64121,농협은행,2026-07-15 00:00:00,T,AAA,0,3,0,,,,2026-04-16 00:00:00,T,AAA,0,3,0
00000,,K64121,농협중앙회,2026-07-14 00:00:00,T,AAA,0,3,0,,,,2026-06-15 00:00:00,T,AAA,0,3,0
12931,,K64132,다올저축은행,,,,0,0,0,,,,2026-06-12 00:00:00,T,BBB,0,1,0
03021,,K66121,다올투자증권,2025-04-28 00:00:00,,,0,0,0,2026-06-30 00:00:00,T,A2-,2026-06-22 00:00:00,T,A-,0,1,0
02359,,J63110,다우기술,2026-06-25 00:00:00,T,A,0,2,0,,,,,,,0,0,0
06824,,C28110,다원시스,2026-04-01 00:00:00,T,D,0,0,0,,,,2025-01-16 00:00:00,,,0,0,0
18187,,H49211,대구교통공사,2026-06-30 00:00:00,T,AA+,0,3,0,,,,,,,0,0,0
09353,,L68129,대구도시개발공사,2026-03-27 00:00:00,T,AA+,0,3,0,,,,,,,0,0,0
00049,,C29210,대동,2026-06-24 00:00:00,T,BBB,0,2,0,2026-06-24 00:00:00,T,A3,2025-01-16 00:00:00,,,0,0,0
09949,,D35200,대륜이엔에스,2025-07-15 00:00:00,,,0,0,0,2026-05-29 00:00:00,T,A2-,2026-05-29 00:00:00,T,A-,2,0,0
08061,,G46739,대림,2026-04-15 00:00:00,T,A+,0,1,0,2025-12-22 00:00:00,T,A2+,2026-07-09 00:00:00,T,A+,0,1,0
00168,,C10740,대상,2026-06-29 00:00:00,T,AA-,0,3,0,,,,2026-06-23 00:00:00,T,AA-,0,1,0
08469,,K64992,대상홀딩스,2026-06-29 00:00:00,T,AA-,0,2,0,2026-04-29 00:00:00,T,A1,,,,0,0,0
11758,,D35200,대성에너지,2026-06-19 00:00:00,T,A+,0,2,0,,,,,,,0,0,0
01671,,M71500,대성홀딩스,2026-06-19 00:00:00,T,A+,0,2,0,,,,,,,0,0,0
10334,,K64999,대신에프앤아이,2026-05-12 00:00:00,T,A+,0,3,0,2026-05-13 00:00:00,T,A2+,,,,0,0,0
0007K,,L68120,대신자산신탁,2026-07-01 00:00:00,T,BBB+,0,2,0,,,,2026-07-01 00:00:00,T,BBB+,0,2,0
00000,,K64132,대신저축은행,,,,0,0,0,,,,2026-06-22 00:00:00,T,A-,0,1,0
00354,,K66121,대신증권,2026-07-09 00:00:00,T,AA-,0,3,0,2026-07-14 00:00:00,T,A1,,,,0,0,0
04704,,F41112,대우건설,2026-06-26 00:00:00,T,A,0,1,1,2026-06-26 00:00:00,T,A2,2026-06-22 00:00:00,T,A,0,0,1
06962,,C21200,대웅제약,2026-05-15 00:00:00,T,A+,0,2,0,,,,,,,0,0,0
12227,,F41000,대전도시공사,2026-07-15 00:00:00,T,AA+,0,3,0,,,,,,,0,0,0
16829,,H52914,대전천변고속도로,2026-06-26 00:00:00,T,AAA,0,2,0,,,,,,,0,0,0
00107,,C13200,대한방직,2026-05-15 00:00:00,T,BB,0,1,0,,,,,,,0,0,0
00144,,C28302,대한전선,2026-06-29 00:00:00,T,A,0,3,0,,,,2026-06-29 00:00:00,T,A,0,3,0
00179,,C10600,대한제당,2026-06-26 00:00:00,T,A-,0,2,0,,,,,,,0,0,0
13393,,K64201,대한토지신탁,2026-06-22 00:00:00,T,BBB+,0,1,0,2025-11-28 00:00:00,T,A3+,2026-06-22 00:00:00,T,BBB+,0,1,0
00349,,H51100,대한항공,2026-05-28 00:00:00,T,A,3,0,0,,,,,,,0,0,0
00588,,H50112,대한해운,,,,0,0,0,2026-01-02 00:00:00,T,A3+,2026-07-03 00:00:00,T,BBB+,0,2,0
32639,,C22190,대흥알앤티,2025-06-30 00:00:00,T,BB,0,1,0,,,,,,,0,0,0
00000,,K64132,더케이저축은행,,,,0,0,0,,,,2026-06-01 00:00:00,T,BBB-,0,1,0
19303,,K64911,도이치파이낸셜,,,,0,0,0,,,,2026-05-11 00:00:00,T,BBB,0,1,0
18270,,D35113,동두천드림파워,,,,0,0,0,,,,2026-06-26 00:00:00,T,A,0,2,0
00414,,H52990,동방,2026-06-23 00:00:00,T,BBB,0,1,0,2026-06-30 00:00:00,T,A3,,,,0,0,0
02482,,K64132,동부저축은행,,,,0,0,0,,,,2026-06-05 00:00:00,T,A-,0,1,0
46710,,C30000,동서기공,2026-06-24 00:00:00,T,B+,0,1,0,,,,,,,0,0,0
10352,,F42000,동성중공업,2026-06-25 00:00:00,T,BB-,0,1,0,,,,,,,0,0,0
00064,,K64992,동아쏘시오홀딩스,2026-06-30 00:00:00,T,A,0,3,0,,,,,,,0,0,0
17090,,C21210,동아에스티,2026-06-30 00:00:00,T,A+,0,1,2,,,,,,,0,0,0
04977,,C10700,동원F&B,2026-06-29 00:00:00,T,A+,2,0,0,2026-06-29 00:00:00,T,A1,,,,0,0,0
44725,,F41000,동원건설산업,2025-06-30 00:00:00,T,BBB-,0,2,0,,,,,,,0,0,0
01850,,C30300,동원금속,2025-08-21 00:00:00,T,BB-,0,1,0,,,,2025-08-26 00:00:00,T,BB,0,1,0
00604,,K64992,동원산업,2026-07-01 00:00:00,T,AA-,0,3,0,2026-07-01 00:00:00,T,A1,2025-01-16 00:00:00,,,0,0,0
01482,,C22200,동원시스템즈,2026-06-29 00:00:00,T,A+,0,3,0,,,,,,,0,0,0
11234,,C24130,동원파이프,2025-05-28 00:00:00,T,B,0,1,0,,,,,,,0,0,0
00489,,C24113,동일산업,,,,0,0,0,,,,2026-06-22 00:00:00,T,BBB-,0,1,0
02590,,C16212,동화기업,2026-05-19 00:00:00,T,BBB+,0,2,0,2026-05-19 00:00:00,T,A3+,2025-08-26 00:00:00,,,0,0,0
00015,,K64992,두산,2026-06-30 00:00:00,T,BBB+,2,0,0,2025-12-26 00:00:00,T,A3+,,,,0,0,0
03402,,C29119,두산에너빌리티,2026-06-24 00:00:00,T,A-,0,2,0,2026-06-24 00:00:00,T,A2-,,,,0,0,0
33626,,C28111,두산퓨얼셀,2026-07-01 00:00:00,T,BBB,0,0,2,,,,,,,0,0,0
00000,,K64122,디비에스은행서울지점,,,,0,0,0,,,,2026-07-01 00:00:00,T,AAA,0,1,0
05966,,K64913,디비캐피탈,2026-06-05 00:00:00,T,BBB+,0,2,0,2026-06-05 00:00:00,T,A3+,,,,0,0,0
09220,,C30300,디아이씨,2026-06-30 00:00:00,T,BB,0,1,0,,,,,,,0,0,0
37719,,L68100,디앤디플랫폼리츠,2026-02-27 00:00:00,,,0,0,0,,,,2026-03-03 00:00:00,T,A-,0,3,0
10478,,K66120,디에스투자증권,,,,0,0,0,2026-05-27 00:00:00,T,A2-,2026-04-01 00:00:00,T,A-,0,2,0
21955,,G46400,디와이디,2026-06-30 00:00:00,T,B-,0,0,2,,,,,,,0,0,0
00288,,C30300,디와이에이,2026-06-26 00:00:00,T,B-,0,1,0,,,,,,,0,0,0
00082,,F41112,롯데건설,2026-07-01 00:00:00,T,A,0,3,0,2026-04-30 00:00:00,T,A2,,,,0,0,0
04083,,H52990,롯데글로벌로지스,2026-06-30 00:00:00,T,A,0,2,0,2025-12-30 00:00:00,T,A2,,,,0,0,0
08986,,N76110,롯데렌탈,2026-07-06 00:00:00,T,A+,0,3,0,2026-07-03 00:00:00,T,A2+,2024-12-09 00:00:00,,,0,0,0
03101,,L68100,롯데물산,2026-06-29 00:00:00,F,A+,0,2,1,2026-06-29 00:00:00,F,A2+,2025-01-16 00:00:00,,,0,0,0
02353,,G47111,롯데쇼핑,2026-05-27 00:00:00,T,AA-,0,3,0,2026-05-27 00:00:00,T,A1,2026-05-27 00:00:00,T,AA-,0,1,0
28036,,C10713,롯데웰푸드,2026-06-29 00:00:00,T,AA,0,3,0,2026-06-29 00:00:00,T,A1,,,,0,0,0
03103,,G46100,롯데지알에스,2026-06-15 00:00:00,T,A,0,1,0,2026-07-06 00:00:00,T,A2,2026-04-13 00:00:00,,,0,0,0
00499,,K64992,롯데지주,2026-06-30 00:00:00,T,A+,0,3,0,2026-06-29 00:00:00,T,A2+,,,,0,0,0
00530,,C11209,롯데칠성음료,2026-06-25 00:00:00,T,AA,0,3,0,2026-06-26 00:00:00,T,A1,2025-01-16 00:00:00,,,0,0,0
03062,,K64913,롯데카드,2026-06-30 00:00:00,T,AA-,0,3,0,2026-06-01 00:00:00,T,A1,,,,0,0,0
